"n_per_arm","evsi","mcse","evsi_unpaired","ess_mean","evpi","fraction_of_evpi"
100,0.00590048302123756,0.000373252368893303,0.00582467028059694,12411.1155220053,0.0080128984568707,0.73637311804172
250,0.00733346539453902,0.000414238161934993,0.00709978429544079,9232.62890732349,0.0080128984568707,0.915207578632287
500,0.00730989951304941,0.000419058084090409,0.0074728807905944,7165.64612660038,0.0080128984568707,0.912266585230654
750,0.0076944331811609,0.000434321083069957,0.00788469006890633,6016.42669753735,0.0080128984568707,0.960255920198673
1000,0.00749088710989089,0.000425321777494637,0.00799117134602557,5303.86061740887,0.0080128984568707,0.934853617602978
1500,0.00773528437803705,0.000434122869167626,0.00793646342347645,4425.10356272819,0.0080128984568707,0.965354099976694
2000,0.00777838871898822,0.00043485712650548,0.00819307559038317,3857.74481905477,0.0080128984568707,0.970733469400028
